candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
12,c012_arch_32_act_sigmoid,32,sigmoid,sigmoid,[32],"[""sigmoid""]",1219,120,120,0.09496153136320258,0.09485043676476625,0.09045176189217828,0.27240103782925035,0.8747467305212746,0.8888377233376312,0.29359809002794596,0.24485801012394376,0.21197459174686867,0.18148593758544249,43898,10858,51.842181399988476,52963
13,c013_arch_16x8_act_relu_relu,16x8,"relu,relu","relu,relu","[16, 8]","[""relu"", ""relu""]",723,120,119,0.07409148999643063,0.07385191786656635,0.07185953329211771,0.2350686017618058,0.9153619451095966,0.9487935163013447,0.22045299778065425,0.14123075340834523,0.14729246967601653,0.0966607931899111,43898,10858,52.46432000002824,52964
14,c014_arch_16x8_act_relu_tanh,16x8,"relu,tanh","relu,tanh","[16, 8]","[""relu"", ""tanh""]",723,120,120,0.07511661447680694,0.0750792911128985,0.0733921117209163,0.2453309848045508,0.9152698471173328,0.9543193958371707,0.226981140013052,0.13995220797741298,0.14777615839307712,0.09603890689351673,43898,10858,52.532412200002,52965
15,c015_arch_16x8_act_tanh_tanh,16x8,"tanh,tanh","tanh,tanh","[16, 8]","[""tanh"", ""tanh""]",723,120,120,0.0765663208809522,0.07644994466576284,0.07332517831644798,0.2469037221619428,0.9161908270399706,0.9507275741388838,0.22666236651187488,0.14684783997380244,0.14571639331670772,0.09776185998865684,43898,10858,55.333075000031386,52966
16,c016_arch_16x8_act_sigmoid_sigmoid,16x8,"sigmoid,sigmoid","sigmoid,sigmoid","[16, 8]","[""sigmoid"", ""sigmoid""]",723,120,120,0.10626128950492793,0.10619516647417641,0.10117024483958931,0.2769880057654782,0.8621293055811383,0.874194142567692,0.3892516977419443,0.36456898611802646,0.24314283679084545,0.20906989054909111,43898,10858,60.12360469996929,52967
17,c017_arch_24x12_act_relu_relu,24x12,"relu,relu","relu,relu","[24, 12]","[""relu"", ""relu""]",1179,120,119,0.07041974817077426,0.07043995840069406,0.06983946788994992,0.23080878293762375,0.9142567692024314,0.9561613556824461,0.22249799592430408,0.12680705209796347,0.14218404688741165,0.07183173462970852,43898,10858,82.60064840002451,52968
18,c018_arch_24x12_act_relu_tanh,24x12,"relu,tanh","relu,tanh","[24, 12]","[""relu"", ""tanh""]",1179,120,120,0.0697310917944027,0.06958927957302802,0.06895263592832149,0.2337496285500898,0.9216246085835329,0.9627003131331737,0.20472050327955194,0.12410305358358324,0.134466407707019,0.0809310952434445,43898,10858,95.33926010003779,52969
19,c019_arch_24x12_act_tanh_tanh,24x12,"tanh,tanh","tanh,tanh","[24, 12]","[""tanh"", ""tanh""]",1179,120,120,0.0726777644555299,0.0725663314251032,0.07068562802002122,0.237841603505192,0.9179406888929821,0.9531221219377417,0.21904775577699045,0.12994218377650696,0.14105128486592547,0.08032672605937874,43898,10858,90.50774069997715,52970
20,c020_arch_24x12_act_sigmoid_sigmoid,24x12,"sigmoid,sigmoid","sigmoid,sigmoid","[24, 12]","[""sigmoid"", ""sigmoid""]",1179,120,120,0.10405840331793668,0.10400048297621121,0.10000085320579652,0.26877107056361094,0.8621293055811383,0.874194142567692,0.38916925699764865,0.3596122658786292,0.2441622554366596,0.2105988273964905,43898,10858,91.358322999964,52971
21,c021_arch_32x16_act_relu_relu,32x16,"relu,relu","relu,relu","[32, 16]","[""relu"", ""relu""]",1699,120,119,0.064438540992734,0.06421001972328086,0.06591299218622267,0.2218441417762249,0.924755940320501,0.9609504512801621,0.19748916668135677,0.1192759164109988,0.12181920437857599,0.06477521501823252,43898,10858,90.32542360003572,52972
