generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
22,3.9774524143763954,5.240772792271206,9.407308442252024,9.93357767377581,7.358655191603162,9.723223447799683,10.196379252842494,10.332249232700892,0,,30.0,30.0,30.0,30.0,30.0,
23,3.6368931361607144,5.089363370622907,9.091885430472237,10.06979043143136,7.077874172301519,9.645111220223564,10.282489912850515,10.427687508719307,0,,30.0,30.0,30.0,30.0,30.0,
24,3.8018172127859935,5.154105595179966,9.10085882459368,9.889188494001116,7.238146804627919,9.600608859743392,10.282489912850515,10.427687508719307,0,,30.0,30.0,30.0,30.0,30.0,
25,4.749424525669642,5.356227329799108,9.815032822745186,10.21056638445173,7.7650659424918045,10.017360619136266,10.328195435660225,10.427687508719307,0,,30.0,30.0,30.0,30.0,30.0,
26,3.975538526262556,5.218286514282227,9.487577165876116,10.179761614118304,7.310924813860939,9.881240470068796,10.3914669581822,10.52248546055385,0,,30.0,30.0,30.0,30.0,30.0,
27,4.4959515162876675,5.039769581386022,9.685756819588796,10.368698937552317,7.2750098932357075,10.319561106818064,11.709686006818501,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
28,4.775640215192523,5.262302671160017,9.66454369681222,10.55245998927525,7.844046978723436,10.610732180731638,12.685321399143763,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
29,4.258675711495536,4.77306502205985,9.633366721017023,10.443043300083707,7.374877475556873,10.619287661143712,12.714185033525741,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
30,4.5777658735002795,5.187862941196986,9.678707803998677,10.69131224496024,7.444058656692505,10.672080857413157,12.791904721941268,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
31,4.988813127790179,5.376467023577009,10.265007019042969,11.129310880388532,8.269396282377699,11.599682228905813,14.448695863996232,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
32,4.0827533176967075,5.0695487431117465,10.316008840288436,11.329600470406673,8.126859608150665,11.564906665257045,14.448695863996232,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
33,3.634850093296596,5.3971903664725165,10.205311094011579,14.019762311662946,8.03366422653198,12.078934056418284,14.448695863996232,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
34,4.403439113071986,5.1701940808977405,10.423829896109446,14.133010319301063,8.045902990159535,12.019233703613281,14.537191390991211,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
35,4.573648725237165,5.136733736310687,9.913312367030553,14.078397478376118,7.955032870883033,11.768966742924283,14.537191390991211,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
36,4.94792720249721,5.493905203683036,10.62370777130127,14.399796622140068,8.789943343117123,12.736910581588745,14.611424037388392,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
37,4.610015324183873,5.3370176042829245,10.619164875575477,14.254831586565288,8.360444534392585,12.514627320425852,14.611424037388392,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
38,4.544314793178013,5.197396959577288,10.493965148925781,13.27769524710519,8.224805025827317,11.927195276532855,14.611424037388392,14.705865042550222,0,,30.0,30.0,30.0,30.0,30.0,
39,4.758394513811384,5.35341671534947,10.28679983956473,14.422327314104354,8.400373629161288,12.573376723698207,14.673798424857004,14.7107424054827,0,,30.0,30.0,30.0,30.0,30.0,
40,3.975056784493583,5.243515287126814,11.007037162780762,14.551188332693918,8.561134281612578,13.085472924368723,14.673798424857004,14.7107424054827,0,,30.0,30.0,30.0,30.0,30.0,
41,4.386805943080358,5.353311811174665,10.343478066580635,14.15662111554827,8.421717598324731,12.229137761252268,14.673798424857004,14.7107424054827,0,,30.0,30.0,30.0,30.0,30.0,
42,4.645684378487723,5.163117817470006,10.179147039140974,14.452643258231028,8.411337875184559,12.550698007856095,14.673798424857004,14.7107424054827,0,,30.0,30.0,30.0,30.0,30.0,
43,4.63240705217634,5.196723937988281,10.330849375043595,14.43786839076451,8.472260747637065,12.37400003841945,14.739106042044504,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
44,4.379180363246372,5.101233891078404,10.02695083618164,14.51515633719308,8.264430363972982,12.099868740354266,14.739106042044504,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
45,4.433720179966518,5.281823022024972,10.352020944867814,14.432335444859099,8.74813721293495,12.414714608873641,14.775431496756417,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
46,3.570650373186384,5.079634530203683,9.989113126482282,13.88077872140067,7.83828337987264,11.808695793151855,14.775431496756417,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
47,4.578207288469587,5.240601130894253,10.225670678274973,14.038496834891182,7.796710445767357,12.00953687940325,14.775431496756417,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
48,3.4373076302664622,4.827297755650111,10.015850067138672,13.92126846313477,8.010291655858358,11.873663834163121,14.775431496756417,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
49,4.767568315778459,5.32024792262486,10.26982171194894,14.481849670410158,8.291266475405012,12.280082021440776,14.775431496756417,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
50,4.670424870082311,5.167875289916992,10.037850652422222,14.504643031529017,8.269917964935303,12.578785589763097,14.775431496756417,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
51,3.128190721784319,4.989846093314035,10.812166077750069,14.707328251429965,8.297983180908929,12.838938576834543,14.79301725115095,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
52,3.015180860246931,4.684525898524693,10.936592647007535,14.21983827863421,8.20674078805106,12.707923480442593,14.79301725115095,14.89032200404576,0,,30.0,30.0,30.0,30.0,30.0,
53,4.2119647434779575,5.26829719543457,10.874218259538923,14.339401790073943,8.554360128584362,12.88144656590053,14.872737612043107,15.059165954589842,0,,30.0,30.0,30.0,30.0,30.0,
54,4.780282701764788,5.350653784615654,14.32551520211356,14.806838989257812,9.622815733864194,14.587609767913818,14.91647584097726,15.059165954589842,0,,30.0,30.0,30.0,30.0,30.0,
55,4.621686662946429,5.240383148193359,10.629294940403529,14.807436261858259,8.512688080469767,12.869531427110944,14.937264578683035,15.059165954589842,0,,30.0,30.0,30.0,30.0,30.0,
56,4.622865949358259,5.5744171142578125,11.519804682050433,14.233861105782646,8.931560175759452,13.181641272136144,14.937264578683035,15.059165954589842,0,,30.0,30.0,30.0,30.0,30.0,
57,3.683301108224052,5.043950762067523,11.025742803301132,14.522150857107983,8.491802726473127,12.942995684487478,14.937264578683035,15.059165954589842,0,,30.0,30.0,30.0,30.0,30.0,
58,4.7626784188406805,5.3482995714460095,13.873071670532227,14.897842407226564,9.579054003670102,14.372785772596085,15.03083229064941,15.121541704450332,0,,30.0,30.0,30.0,30.0,30.0,
59,4.1445208958217075,5.379721777779715,13.827791213989258,14.950371878487724,9.490373531977335,14.412896633148193,15.150792258126394,15.40311540876116,0,,30.0,30.0,30.0,30.0,30.0,
60,3.9319158281598767,5.095773424421038,14.020209993634907,15.039279937744139,8.967653456188385,14.488623482840403,15.26590347290039,15.459927150181365,0,,30.0,30.0,30.0,30.0,30.0,
61,4.849633353097098,5.702246257237025,14.77414948599679,15.225376674107142,10.389336744944254,15.009328637804305,15.399953297206334,15.459927150181365,0,,30.0,30.0,30.0,30.0,30.0,
62,4.970458439418248,5.427525384085519,14.70010621207101,15.390389578683035,10.319667486917405,15.072801794324604,15.66863604954311,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
63,5.6537372044154575,8.954746382577078,14.973910195486887,15.43828637259347,10.922824939092001,15.146192482539586,15.684175491333008,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
64,5.079979487827846,5.765887669154576,14.133799416678295,15.243339538574219,9.881373076211839,14.680027961730957,15.684175491333008,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
65,5.154698508126395,6.352822440011161,14.842969349452428,15.348759242466517,11.273975315548126,15.206636020115443,15.684175491333008,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
66,4.502931322370257,6.4435209546770364,14.714467184884207,15.544582911900113,10.304706607546125,15.19592557634626,15.781965255737306,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
67,5.2940570286342075,7.931559426443917,14.17483466012137,15.406733376639233,10.682084673926944,14.804871082305908,15.781965255737306,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
68,5.216405596051898,9.39180782863072,14.754679543631418,15.469379970005582,11.096263783318657,15.062580449240548,15.781965255737306,16.05321066720145,0,,30.0,30.0,30.0,30.0,30.0,
69,5.295247759137835,5.862723759242466,15.251885822841098,15.72486060006278,11.2996430624099,15.571861607687815,15.983896255493164,16.08043670654297,0,,30.0,30.0,30.0,30.0,30.0,
