generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
129,3.988422393798828,9.100813865661621,31.183301699323707,74.16044235229494,27.006960053269477,57.20923669558374,78.51922357466874,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
130,4.095359802246094,6.201017924717494,32.57613999502999,76.52075631277903,27.700482007045153,58.744442366383005,78.71735350107778,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
131,3.594676426478795,7.864863531930106,67.50371511160613,76.0894034249442,30.275036099171558,69.00377955535114,78.75278658910791,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
132,3.728012084960938,4.1902201516287665,34.89345374522485,71.65230887276786,25.865761741071776,59.31254051774265,78.75278658910791,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
133,3.7515138898577014,11.597001211983816,67.25951108421029,77.0670885358538,36.88422540975428,72.79832455339647,79.77086921787894,83.71121196922462,0,,30.0,30.0,30.0,30.0,30.0,
134,4.01397214617048,9.704734257289342,71.33831574647681,76.92668533325195,38.64632631105665,76.11250191680378,83.97484612152186,93.95919527326312,0,,30.0,30.0,30.0,30.0,30.0,
135,5.686262948172432,16.7300306047712,73.18518366132464,79.69578046643234,43.83062243269266,79.22179322390707,89.91839265739694,99.14602052995714,0,,30.0,30.0,30.0,30.0,30.0,
136,4.129726409912109,8.534797259739467,73.34939684186662,83.11336359076739,41.9931310613105,81.90712865547769,97.60367904773607,100.0,1,29.590000000001822,30.0,30.0,29.991458333333373,29.974375000000116,29.897500000000456,29.590000000001822
137,4.338363102504185,11.170362063816615,67.49999942524154,97.5210654912428,36.6157596660755,81.68015128679417,99.78650513248928,100.0,3,25.540000000001196,30.0,30.0,29.847916666666762,29.543750000000284,28.175000000001134,25.540000000001196
138,4.121461050851004,11.379603658403669,71.26685424216807,99.40221437097,37.34857326522662,82.26664783837509,100.0,100.0,5,25.540000000001196,30.0,30.0,29.68791666666682,29.063750000000447,26.357500000001323,25.540000000001196
139,4.143965584891183,11.149014064243861,72.69789563802522,89.92594532170848,41.11439103894337,83.45406039493389,100.0,100.0,5,25.540000000001196,30.0,30.0,29.682291666666814,29.04687500000044,26.357500000001323,25.540000000001196
140,4.47958973475865,11.304651669093541,78.33025523594448,100.0,46.85772097675051,90.77602366598711,100.0,100.0,7,25.540000000001196,30.0,30.0,29.581666666666877,28.74500000000063,26.260000000001305,25.540000000001196
141,3.853253500802176,10.283267157418386,78.29409871782576,100.0,47.31591756836267,87.57801004818508,100.0,100.0,6,25.540000000001196,30.0,30.0,29.599791666666842,28.799375000000524,26.117500000001286,25.540000000001196
142,5.745003836495536,13.994694437299458,78.27050345284599,100.0,45.85756059212162,90.53742457590965,100.0,100.0,8,25.280000000001152,30.0,30.0,29.40395833333356,28.211875000000667,25.64500000000121,25.280000000001152
143,7.7061644962855755,11.065432003566197,69.50264522007534,100.0,37.288247864958834,84.58819902395363,100.0,100.0,7,25.00000000000111,30.0,30.0,29.370833333333508,28.11250000000053,25.40000000000117,25.00000000000111
144,10.736470358712333,17.133072444370814,78.27333859034947,100.0,49.197504883845774,90.35551752362933,100.0,100.0,8,24.66000000000105,30.0,30.0,29.284791666666873,27.85437500000061,25.120000000001127,24.66000000000105
145,3.9840087890625004,10.982223238263812,78.41538565499442,100.0,43.417455689691145,91.47156315402114,100.0,100.0,8,23.620000000000893,30.0,30.0,29.243750000000194,27.731250000000593,24.472500000001023,23.620000000000893
146,5.829594203404017,16.452362877982004,89.38647678920202,100.0,55.0160071376998,95.10219165257045,100.0,100.0,11,23.620000000000893,30.0,30.0,29.170625000000303,27.511875000000913,24.44250000000102,23.620000000000893
147,11.436916623796735,16.587269646780832,99.58222547871537,100.0,55.97432185463693,98.24340581676213,100.0,100.0,12,23.620000000000893,29.772500000000438,30.0,29.088125000000332,27.26437500000099,24.40500000000101,23.620000000000893
148,10.917570659092494,15.909663609095983,82.21575328281948,100.0,44.51114648376398,93.3425387533739,100.0,100.0,9,23.430000000000863,30.0,30.0,29.082708333333542,27.248125000000634,23.96500000000095,23.430000000000863
149,8.920964922223773,16.254119873046875,100.0,100.0,52.109767161735,99.76148193679424,100.0,100.0,15,23.430000000000863,28.540000000001665,30.0,28.82479166666708,26.47437500000122,23.96500000000095,23.430000000000863
150,5.521134512765067,16.705312728881836,100.0,100.0,50.56730426898463,96.09220402581352,100.0,100.0,13,23.430000000000863,28.65250000000168,30.0,28.78541666666699,26.35625000000097,23.96500000000095,23.430000000000863
151,5.634752546037946,10.88106564113072,100.0,100.0,48.54192926934883,97.44869913373674,100.0,100.0,14,22.91000000000078,26.102500000001278,30.0,28.499375000000313,25.49812500000095,23.33250000000085,22.91000000000078
152,5.124134608677455,11.301616941179548,78.28051430838448,100.0,41.62403499399052,90.59469154902868,100.0,100.0,9,22.91000000000078,30.0,30.0,29.156458333333557,27.469375000000667,23.33250000000085,22.91000000000078
153,5.435571943010603,10.77193055834089,100.0,100.0,45.604909553763015,96.08917134148734,100.0,100.0,13,22.91000000000078,27.852500000001555,30.0,28.69333333333364,26.080000000000922,23.33250000000085,22.91000000000078
154,5.455140250069755,10.821757316589355,79.67279979160854,100.0,39.62813222579553,91.18024071944616,100.0,100.0,9,22.3800000000007,30.0,30.0,28.995208333333533,26.985625000000592,23.0225000000008,22.3800000000007
155,10.702769415719168,15.13129506792341,100.0,100.0,49.73877962296992,97.80974252867068,100.0,100.0,13,22.3800000000007,29.08500000000175,30.0,28.924583333333675,26.77375000000103,23.0225000000008,22.3800000000007
156,5.443398066929408,11.159845079694476,82.86980555213,100.0,42.73780575317803,92.5280080910555,100.0,100.0,10,22.3800000000007,30.0,30.0,28.907500000000226,26.72250000000067,23.0225000000008,22.3800000000007
157,8.864847728184293,11.228634289332799,90.66814422607422,100.0,38.44640615177599,87.45152549295396,100.0,100.0,12,22.3800000000007,29.97250000000047,30.0,28.84000000000029,26.520000000000877,22.76750000000076,22.3800000000007
158,10.363606589181082,16.4833859034947,94.57979202270508,100.0,49.24838696873968,95.59451375688826,100.0,100.0,12,21.87000000000062,29.882500000000455,30.0,28.83854166666696,26.515625000000874,22.3925000000007,21.87000000000062
159,5.209164210728237,14.634449141366142,84.1249316079276,100.0,44.427684187892034,93.72564264706205,100.0,100.0,10,21.87000000000062,30.0,30.0,28.997916666666907,26.99375000000071,22.3925000000007,21.87000000000062
