grid,grid_x,grid_y,run_tag,run_dir,completed,expected_generations,final_generation,seed,ranking_key,population_size,elite_count,parent_count,parent_population_ratio_actual,elite_parent_ratio_actual,mutation_prob,mutation_sigma,fixed_fps,collision_mode,lidar_mode,binary_gas_brake,elite_cache_enabled,total_cached_evaluations,max_cached_evaluations,first_finish_generation,first_finish_generation_plot,best_finish_time,best_finish_time_plot,best_finish_generation,total_finish_individuals,total_crash_individuals,total_timeout_individuals,max_finish_count,max_best_dense_progress,max_mean_dense_progress,final_mean_dense_progress,final_std_dense_progress,last50_best_dense_progress,last50_mean_dense_progress,last50_finish_rate,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,final_penalized_mean_time,cumulative_virtual_time_hours,cumulative_wall_minutes,compromise_score
selection,8.0,1.0,parent_count_008_elite_count_001,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_008_elite_count_001\20260504_015228_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,1,8,0.16666666666666666,0.125,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,126.0,126.0,19.06000000000018,19.06000000000018,198.0,349,9196,55,19,100.0,62.12595781255382,41.08296709520389,37.22562493779014,100.0,35.61299079149844,0.13416666666666666,0.8516666666666667,0.014166666666666666,29.164450000000123,27.948333333333448,18.422863888888916,29.768403238333608,-0.3649117587516823
selection,8.0,2.0,parent_count_008_elite_count_002,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_008_elite_count_002\20260504_022221_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,2,8,0.16666666666666666,0.25,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,104.0,104.0,18.69000000000012,18.69000000000012,196.0,882,8509,209,20,100.0,57.14376683652237,49.03023475434069,40.54160014122506,100.0,45.110225367431504,0.2504166666666667,0.7329166666666667,0.016666666666666666,28.32906250000022,27.675208333333643,22.171200000000283,40.7284168283329,-0.03556441299235159
selection,8.0,3.0,parent_count_008_elite_count_003,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_008_elite_count_003\20260504_030312_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,3,8,0.16666666666666666,0.375,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,98.0,98.0,17.58999999999995,17.58999999999995,183.0,845,8624,131,17,100.0,52.62590984511622,36.04550395613205,40.369355690761616,100.0,38.85679020544476,0.21916666666666668,0.7679166666666667,0.012916666666666667,28.042341666666776,27.32312500000005,20.894269444444575,38.2995760216659,-0.16341126461221916
selection,8.0,4.0,parent_count_008_elite_count_004,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_008_elite_count_004\20260504_034138_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,8,0.16666666666666666,0.5,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,138.0,138.0,18.310000000000063,18.310000000000063,199.0,427,9110,63,15,100.0,46.99852243540355,37.3752361014327,37.42653420580149,100.0,35.6283862145907,0.15541666666666668,0.8304166666666667,0.014166666666666666,28.948954166666795,28.16125000000014,18.01558611111116,33.10164297833301,-0.3222578045207597
selection,10.0,1.0,parent_count_010_elite_count_001,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_010_elite_count_001\20260504_041451_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,1,10,0.20833333333333334,0.1,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,148.0,148.0,18.17000000000004,18.17000000000004,200.0,771,8764,65,29,100.0,71.48553620235914,58.769648499592336,39.10479641354544,100.0,56.282777060983896,0.3175,0.67,0.0125,27.499691666666877,26.914166666666812,22.509086111111245,41.217109046666884,0.207202770609839
selection,10.0,2.0,parent_count_010_elite_count_002,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_010_elite_count_002\20260504_045611_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,2,10,0.20833333333333334,0.2,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,150.0,150.0,18.93000000000016,18.93000000000016,200.0,552,8994,54,24,100.0,63.8568764073508,62.55451450567872,38.91414654102023,100.0,47.11779694599162,0.22958333333333333,0.75375,0.016666666666666666,28.58957916666688,26.02645833333354,19.236738888889,35.1388133116668,-0.057155363873417145
selection,10.0,3.0,parent_count_010_elite_count_003,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_010_elite_count_003\20260504_053127_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,3,10,0.20833333333333334,0.3,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9582,18,0,77.1933582850865,25.354982386183654,25.23566819352733,22.45561807214431,77.1933582850865,13.307020995250758,0.0,0.9995833333333334,0.0004166666666666667,30.0,30.0,12.046249999999912,22.060509560000114,-0.8666172900474926
selection,10.0,4.0,parent_count_010_elite_count_004,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_010_elite_count_004\20260504_055338_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,10,0.20833333333333334,0.4,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,137.0,137.0,18.530000000000097,18.530000000000097,198.0,607,8833,160,17,100.0,56.10905811252018,42.678506020902056,37.62222100149655,100.0,44.4216336760731,0.22041666666666668,0.7433333333333333,0.03625,28.64252916666687,28.109166666666766,19.260580555555755,35.55731082499939,-0.08776282990593556
selection,12.0,1.0,parent_count_012_elite_count_001,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_012_elite_count_001\20260504_062918_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,1,12,0.25,0.08333333333333333,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9585,15,0,25.91255015552589,12.391327356563195,8.899864944228574,5.366740968836754,25.91255015552589,9.831987995586054,0.0,0.9991666666666666,0.0008333333333333334,30.0,30.0,10.696902777777675,19.588887503332806,-0.9010551200441395
selection,12.0,2.0,parent_count_012_elite_count_002,Experiments\runs_ga_hyperparam\pc1_selection_refinement_seed_2026050401\parent_count_012_elite_count_002\20260504_064900_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,2,12,0.25,0.16666666666666666,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,86.0,86.0,18.590000000000103,18.590000000000103,182.0,1099,8244,257,25,100.0,67.18850181216285,47.20795060646911,40.290525822669125,100.0,47.62170069125752,0.3020833333333333,0.6725,0.025416666666666667,27.787500000000225,27.272708333333497,24.693163888889227,44.98930095666631,0.0994461735792419
