generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated,front_rank,crowding,front0,priority_score,obj_finished,obj_progress
2,6,17,0,,0,0,0,1,7301784.8960257815,"[0.0, 0.07338755471365792]",7.338755471365792,5.714285714285714,7.338755471365792,2.6899999999999866,0,1,0,70.57534001022577,7.301784896025781,269,1.0,100.0,0.0,1,0,5,inf,0,0.0073387554713657925,0.0,0.07338755471365792
2,7,23,0,,0,0,0,1,7281362.642020077,"[0.0, 0.07318333217075892]",7.318333217075892,5.714285714285714,7.318333217075892,2.6899999999999866,0,1,0,70.57505581527948,7.281362642020078,269,1.0,100.0,0.0,1,0,6,inf,0,0.007318333217075893,0.0,0.07318333217075892
2,8,47,0,,0,0,0,1,7215967.039108078,"[0.0, 0.07252736772809709]",7.252736772809709,5.714285714285714,7.252736772809709,2.669999999999987,0,1,0,69.73370163142681,7.215967039108078,267,1.0,100.0,0.0,1,0,7,inf,0,0.0072527367728097095,0.0,0.07252736772809709
2,9,10,0,,0,0,0,1,7191455.082587999,"[0.0, 0.07228224618094307]",7.228224618094307,5.714285714285714,7.228224618094307,2.669999999999987,0,1,0,69.53550630807877,7.191455082587999,267,1.0,100.0,0.0,1,0,8,inf,0,0.007228224618094308,0.0,0.07228224618094307
2,10,5,0,,0,0,0,1,7178362.298714388,"[0.0, 0.0721513203212193]",7.2151320321219305,5.714285714285714,7.2151320321219305,2.669999999999987,0,1,0,69.73340754210949,7.178362298714388,267,1.0,100.0,0.0,1,0,9,inf,0,0.007215132032121931,0.0,0.0721513203212193
2,11,25,0,,0,0,0,1,7107392.779333294,"[0.0, 0.07142857142857142]",7.142857142857142,5.714285714285714,7.142857142857142,2.53999999999999,0,1,0,64.36352384835482,7.107392779333295,254,1.0,100.0,0.0,1,0,10,inf,0,0.007142857142857143,0.0,0.07142857142857142
2,12,45,0,,0,0,0,1,7106288.247468778,"[0.0, 0.07142857142857142]",7.142857142857142,5.714285714285714,7.142857142857142,2.6499999999999875,0,1,0,68.89538836479187,7.106288247468778,265,1.0,100.0,0.0,1,0,10,inf,0,0.007142857142857143,0.0,0.07142857142857142
2,13,30,0,,0,0,0,1,7097388.602193856,"[0.0, 0.07142857142857142]",7.142857142857142,5.714285714285714,7.142857142857142,3.5399999999999685,0,1,0,68.54066328704357,7.097388602193855,354,1.0,100.0,0.0,1,0,10,0.0,0,0.007142857142857143,0.0,0.07142857142857142
2,14,32,0,,0,0,0,1,7106288.325372891,"[0.0, 0.07142857142857142]",7.142857142857142,5.714285714285714,7.142857142857142,2.6499999999999875,0,1,0,68.81748425215483,7.106288325372891,265,1.0,100.0,0.0,1,0,10,0.0,0,0.007142857142857143,0.0,0.07142857142857142
2,15,40,0,,0,0,0,1,7083488.324320732,"[0.0, 0.07142857142857142]",7.142857142857142,5.714285714285714,7.142857142857142,4.929999999999939,0,1,0,68.81853641197085,7.083488324320732,493,1.0,100.0,0.0,1,0,10,0.0,0,0.007142857142857143,0.0,0.07142857142857142
2,16,18,0,,0,0,0,1,6939378.9978680685,"[0.0, 0.06994541713169643]",6.994541713169642,5.714285714285714,6.994541713169642,4.509999999999948,0,1,0,62.715301575139165,6.939378997868069,451,1.0,100.0,0.0,1,0,11,inf,0,0.006994541713169643,0.0,0.06994541713169643
2,17,15,0,,0,0,0,0,6884203.257418994,"[0.0, 0.06919065202985492]",6.919065202985491,5.714285714285714,6.919065202985491,2.479999999999991,0,1,0,61.94556649774313,6.884203257418994,248,1.0,100.0,0.0,1,0,12,inf,0,0.0069190652029854915,0.0,0.06919065202985492
2,18,6,0,,0,0,0,0,6865127.752596153,"[0.0, 0.06900389535086496]",6.900389535086496,5.714285714285714,6.900389535086496,2.5199999999999902,0,1,0,61.78249034285545,6.865127752596153,252,1.0,100.0,0.0,1,0,13,inf,0,0.006900389535086496,0.0,0.06900389535086496
2,19,12,0,,0,0,0,0,6772110.021416041,"[0.0, 0.0680737086704799]",6.80737086704799,5.714285714285714,6.80737086704799,2.5199999999999902,0,1,0,60.84563194960356,6.772110021416041,252,1.0,100.0,0.0,1,0,14,inf,0,0.006807370867047991,0.0,0.0680737086704799
