generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time
72,-1000005016717.1628,0.0,0.40610722133091515,0.0,5.016714594548966,-1,406106221325.8953,0.0,0.2391672134399414,0.0,239166213434.92133,5.020069619642131
73,-1000005001888.8868,0.0,0.5696432931082589,0.0,5.001886099596136,-1,569642293103.257,0.0,0.24678570883614676,0.0,246784708831.13284,5.013928275113915
74,-1000005003023.5951,0.0,0.655364990234375,0.0,5.003021122614192,-1,655363990229.3721,0.0,0.26049596922738216,0.0,260494969222.3732,5.008956446552643
75,-1000005001092.6674,0.0,0.6676701136997767,0.0,5.001090039073118,-1,667669113694.7675,0.0,0.24659378187997003,0.0,246592781874.95636,5.013652137579986
76,-1000005000095.4362,0.0,0.5735724312918526,0.0,5.0000924747189375,-1,573571431286.8358,0.0,0.24535843304225374,0.0,245357433037.24393,5.009855838156364
77,-1000005010326.2635,0.0,0.6626837594168526,0.0,5.010323616524125,-1,662682759411.8368,0.0,0.2628047125680106,0.0,262803712562.99698,5.013633756461152
78,-1000005000628.6542,0.0,0.473311288016183,0.0,5.0006257937644,-1,473310288011.1732,0.0,0.24092674255371094,0.0,240925742548.70016,5.0107576098610185
79,-1000005001074.458,0.0,0.34991673060825895,0.0,5.00107197021577,-1,349915730603.2579,0.0,0.2084405081612723,0.0,208439508156.26117,5.011179236552829
80,-1000005003111.7072,0.0,0.35205841064453125,0.0,5.003109194216237,-1,352057410639.52814,0.0,0.21232451711382186,0.0,212323517108.81604,5.005798703062394
81,-1000005007123.5491,0.0,0.45284816196986605,0.0,5.0071208529668105,-1,452847161964.843,0.0,0.2256415571485247,0.0,225640557143.5081,5.016609833234481
82,-1000005006772.9685,0.0,0.4599816458565848,0.0,5.006770322128527,-1,459980645851.5683,0.0,0.2342019762311663,0.0,234200976226.1538,5.0124625521031865
