generation,rank,original_index,finished,crashes,time,dense_progress,path_file
65,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0065_rank_001_idx_000_finish_1.npz
65,2,1,1,0,41.31999969482422,100.0,trajectories/gen_0065_rank_002_idx_001_finish_1.npz
66,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0066_rank_001_idx_000_finish_1.npz
66,2,1,1,0,41.31999969482422,100.0,trajectories/gen_0066_rank_002_idx_001_finish_1.npz
67,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0067_rank_001_idx_000_finish_1.npz
67,2,1,1,0,41.31999969482422,100.0,trajectories/gen_0067_rank_002_idx_001_finish_1.npz
68,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0068_rank_001_idx_000_finish_1.npz
68,2,1,1,0,41.31999969482422,100.0,trajectories/gen_0068_rank_002_idx_001_finish_1.npz
69,1,0,1,0,37.52000045776367,100.0,trajectories/gen_0069_rank_001_idx_000_finish_1.npz
69,2,17,1,0,39.70000076293945,100.0,trajectories/gen_0069_rank_002_idx_017_finish_1.npz
70,1,22,1,0,36.9900016784668,100.0,trajectories/gen_0070_rank_001_idx_022_finish_1.npz
70,2,37,1,0,37.040000915527344,100.0,trajectories/gen_0070_rank_002_idx_037_finish_1.npz
71,1,0,1,0,36.9900016784668,100.0,trajectories/gen_0071_rank_001_idx_000_finish_1.npz
71,2,1,1,0,37.040000915527344,100.0,trajectories/gen_0071_rank_002_idx_001_finish_1.npz
72,1,0,1,0,36.9900016784668,100.0,trajectories/gen_0072_rank_001_idx_000_finish_1.npz
72,2,1,1,0,37.040000915527344,100.0,trajectories/gen_0072_rank_002_idx_001_finish_1.npz
73,1,0,1,0,36.9900016784668,100.0,trajectories/gen_0073_rank_001_idx_000_finish_1.npz
73,2,1,1,0,37.040000915527344,100.0,trajectories/gen_0073_rank_002_idx_001_finish_1.npz
74,1,2,1,0,35.060001373291016,100.0,trajectories/gen_0074_rank_001_idx_002_finish_1.npz
74,2,16,1,0,36.0099983215332,100.0,trajectories/gen_0074_rank_002_idx_016_finish_1.npz
75,1,0,1,0,35.060001373291016,100.0,trajectories/gen_0075_rank_001_idx_000_finish_1.npz
75,2,1,1,0,36.0099983215332,100.0,trajectories/gen_0075_rank_002_idx_001_finish_1.npz
76,1,0,1,0,35.060001373291016,100.0,trajectories/gen_0076_rank_001_idx_000_finish_1.npz
76,2,1,1,0,36.0099983215332,100.0,trajectories/gen_0076_rank_002_idx_001_finish_1.npz
77,1,0,1,0,35.060001373291016,100.0,trajectories/gen_0077_rank_001_idx_000_finish_1.npz
77,2,1,1,0,36.0099983215332,100.0,trajectories/gen_0077_rank_002_idx_001_finish_1.npz
78,1,0,1,0,35.060001373291016,100.0,trajectories/gen_0078_rank_001_idx_000_finish_1.npz
78,2,1,1,0,36.0099983215332,100.0,trajectories/gen_0078_rank_002_idx_001_finish_1.npz
79,1,26,1,0,33.72999954223633,100.0,trajectories/gen_0079_rank_001_idx_026_finish_1.npz
79,2,0,1,0,35.060001373291016,100.0,trajectories/gen_0079_rank_002_idx_000_finish_1.npz
80,1,0,1,0,33.72999954223633,100.0,trajectories/gen_0080_rank_001_idx_000_finish_1.npz
80,2,1,1,0,35.060001373291016,100.0,trajectories/gen_0080_rank_002_idx_001_finish_1.npz
81,1,38,1,0,32.54999923706055,100.0,trajectories/gen_0081_rank_001_idx_038_finish_1.npz
81,2,0,1,0,33.72999954223633,100.0,trajectories/gen_0081_rank_002_idx_000_finish_1.npz
82,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0082_rank_001_idx_000_finish_1.npz
82,2,19,1,0,33.13999938964844,100.0,trajectories/gen_0082_rank_002_idx_019_finish_1.npz
83,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0083_rank_001_idx_000_finish_1.npz
83,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0083_rank_002_idx_001_finish_1.npz
84,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0084_rank_001_idx_000_finish_1.npz
84,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0084_rank_002_idx_001_finish_1.npz
85,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0085_rank_001_idx_000_finish_1.npz
85,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0085_rank_002_idx_001_finish_1.npz
86,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0086_rank_001_idx_000_finish_1.npz
86,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0086_rank_002_idx_001_finish_1.npz
87,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0087_rank_001_idx_000_finish_1.npz
87,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0087_rank_002_idx_001_finish_1.npz
88,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0088_rank_001_idx_000_finish_1.npz
88,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0088_rank_002_idx_001_finish_1.npz
89,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0089_rank_001_idx_000_finish_1.npz
89,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0089_rank_002_idx_001_finish_1.npz
90,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0090_rank_001_idx_000_finish_1.npz
90,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0090_rank_002_idx_001_finish_1.npz
91,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0091_rank_001_idx_000_finish_1.npz
91,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0091_rank_002_idx_001_finish_1.npz
92,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0092_rank_001_idx_000_finish_1.npz
92,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0092_rank_002_idx_001_finish_1.npz
93,1,0,1,0,32.54999923706055,100.0,trajectories/gen_0093_rank_001_idx_000_finish_1.npz
93,2,1,1,0,33.13999938964844,100.0,trajectories/gen_0093_rank_002_idx_001_finish_1.npz
