candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
28,arch_32x16_act_tanh_tanh,32x16,"tanh,tanh","tanh,tanh","[32, 16]","[""tanh"", ""tanh""]",1699,80,80,0.08013943528563097,0.0800260136029466,0.0766369672202234,0.2539309777263164,0.9153619451095966,0.9497144962239823,0.23534944330181376,0.1366215198381234,0.15004879327346485,0.08494172980715543,43898,10858,57.46122579998337,52979
29,arch_32x16_act_relu_relu,32x16,"relu,relu","relu,relu","[32, 16]","[""relu"", ""relu""]",1699,80,80,0.0688815492534291,0.06868734417861781,0.06987902262160782,0.2301070472772092,0.9134278872720575,0.9533063179222693,0.2158636520703341,0.13154132398238913,0.1383955472959166,0.07966892019690983,43898,10858,64.02333440002985,52980
30,arch_32x16_act_sigmoid_sigmoid,32x16,"sigmoid,sigmoid",sigmoid,"[32, 16]","[""sigmoid"", ""sigmoid""]",1699,80,80,0.10659416015707358,0.10649731303992274,0.10209542593588858,0.27248680071181675,0.8621293055811383,0.874194142567692,0.39190683946312627,0.36331562935306916,0.24531982107086941,0.21095342490308125,43898,10858,64.49833120004041,52981
31,arch_48x24_act_tanh_tanh,48x24,"tanh,tanh",tanh,"[48, 24]","[""tanh"", ""tanh""]",2931,80,80,0.07459938372382868,0.07437980618068007,0.07210570210815684,0.24664973316765287,0.9218088045680605,0.9618714312027998,0.21218958637028862,0.124089034272505,0.13673241517451132,0.07507383241511155,43898,10858,59.7022976000444,52982
32,arch_48x24_act_relu_relu,48x24,"relu,relu",relu,"[48, 24]","[""relu"", ""relu""]",2931,80,80,0.06286846647764036,0.06266491816939349,0.06498655304930272,0.22129253191411286,0.9250322342972923,0.9628845091177012,0.19588805905010276,0.11378400587952144,0.12348262037135638,0.06223545998450163,43898,10858,62.08027380000567,52983
33,arch_48x24_act_relu_tanh,48x24,"relu,tanh","relu,tanh","[48, 24]","[""relu"", ""tanh""]",2931,80,80,0.06397402155773532,0.06371522738920637,0.06642277494997889,0.2262887861610535,0.9242954503591821,0.9635291950635476,0.193741797522564,0.11237531526024158,0.12465638634819949,0.06825249040076298,43898,10858,52.68207390001044,52984
34,arch_48x24_act_tanh_tanh,48x24,"tanh,tanh","tanh,tanh","[48, 24]","[""tanh"", ""tanh""]",2931,80,80,0.07301870987679433,0.07282427283125024,0.07142842856202694,0.2399377828145866,0.9207036286608952,0.9561613556824461,0.2185538139631349,0.12725571783279754,0.14393600826435576,0.07712127016622249,43898,10858,44.720535700034816,52985
35,arch_48x24_act_relu_relu,48x24,"relu,relu","relu,relu","[48, 24]","[""relu"", ""relu""]",2931,80,80,0.06536046051236077,0.06524818782332742,0.06680003671103539,0.22256299965858986,0.921164118622214,0.9576349235586664,0.20260843279436822,0.1283242911962234,0.12880927279281407,0.07723549888331184,43898,10858,63.55209620000096,52986
36,arch_48x24_act_sigmoid_sigmoid,48x24,"sigmoid,sigmoid",sigmoid,"[48, 24]","[""sigmoid"", ""sigmoid""]",2931,80,80,0.10606967286208946,0.10597291640583283,0.1017102065416721,0.27333958967106625,0.8621293055811383,0.874194142567692,0.3842749041425389,0.36009911371871545,0.2434918018396574,0.2086623917848591,43898,10858,58.9567358000204,52987
37,arch_64x32_act_tanh_tanh,64x32,"tanh,tanh",tanh,"[64, 32]","[""tanh"", ""tanh""]",4419,80,79,0.06998834332953695,0.06982439981550392,0.06894061958143166,0.23803531620730395,0.931939583717075,0.9637133910480752,0.19145375489090705,0.11944443763652808,0.12242804102353967,0.06393924192469694,43898,10858,58.17950239998754,52988
38,arch_64x32_act_relu_relu,64x32,"relu,relu",relu,"[64, 32]","[""relu"", ""relu""]",4419,80,80,0.059724571699202485,0.0596313220644612,0.06245119097478088,0.21841150165416628,0.9371891692761097,0.9626082151409099,0.18401791004652387,0.11023252202257264,0.10545826643337573,0.05722695148810209,43898,10858,50.386504800000694,52989
39,arch_64x32_act_relu_tanh,64x32,"relu,tanh","relu,tanh","[64, 32]","[""relu"", ""tanh""]",4419,80,80,0.0618582839187245,0.06167769351889861,0.063706071543351,0.22297767109360608,0.9341499355314055,0.9662000368391969,0.1749352739537524,0.11077751290361225,0.11323772492955943,0.06625665821715555,43898,10858,53.67247089999728,52990
40,arch_64x32_act_tanh_tanh,64x32,"tanh,tanh","tanh,tanh","[64, 32]","[""tanh"", ""tanh""]",4419,80,80,0.07008401813759739,0.06987670879975512,0.06996938455860179,0.2395891831447723,0.9313869957634924,0.9624240191563824,0.18619900343496731,0.119755029458766,0.11977556375843272,0.06757739649049088,43898,10858,64.25299069995526,52991
41,arch_64x32_act_relu_relu,64x32,"relu,relu","relu,relu","[64, 32]","[""relu"", ""relu""]",4419,80,79,0.060117588664772376,0.060360616746904794,0.0638082374726503,0.22329870432335316,0.9379259532142199,0.9657395468778781,0.18243024274116723,0.11061804183479347,0.10358159558332566,0.05799702004759236,43898,10858,56.847569999983534,52992
42,arch_64x32_act_sigmoid_sigmoid,64x32,"sigmoid,sigmoid",sigmoid,"[64, 32]","[""sigmoid"", ""sigmoid""]",4419,80,80,0.10184998344396631,0.10159519178850286,0.09741359881591481,0.26966192077198264,0.8621293055811383,0.874194142567692,0.3504672174318475,0.3224061947322107,0.23942001829008566,0.20822273966883575,43898,10858,53.827698099950794,52993
43,arch_32x16x8_act_tanh_tanh_tanh,32x16x8,"tanh,tanh,tanh",tanh,"[32, 16, 8]","[""tanh"", ""tanh"", ""tanh""]",1811,80,80,0.07586134559861392,0.0756949035514378,0.07316048191899774,0.24529875837695997,0.9134278872720575,0.9486093203168171,0.23940340197751658,0.1623777374419351,0.15924966600986887,0.11581989765430731,43898,10858,54.204097100009676,52994
44,arch_32x16x8_act_relu_relu_relu,32x16x8,"relu,relu,relu",relu,"[32, 16, 8]","[""relu"", ""relu"", ""relu""]",1811,80,79,0.07135688119925498,0.07119136399252278,0.07078297573611275,0.22764411177242586,0.907257321790385,0.9484251243322895,0.2259301807279195,0.13695087808780104,0.14464314591271987,0.08158928334855708,43898,10858,65.87733330001356,52995
45,arch_32x16x8_act_sigmoid_sigmoid_sigmoid,32x16x8,"sigmoid,sigmoid,sigmoid",sigmoid,"[32, 16, 8]","[""sigmoid"", ""sigmoid"", ""sigmoid""]",1811,80,80,0.10832101064382194,0.10825154117473063,0.10315438475117408,0.28456725343460754,0.8621293055811383,0.874194142567692,0.39989379950267084,0.37694515411663637,0.24938485916202338,0.21359946025539925,43898,10858,58.77765730000101,52996
46,arch_128x64_act_tanh_tanh,128x64,"tanh,tanh",tanh,"[128, 64]","[""tanh"", ""tanh""]",12931,80,79,0.06402378904368156,0.06379452659811505,0.06399808266881334,0.22215180775587412,0.9388469331368576,0.9638054890403389,0.17023168266269686,0.12009258344042123,0.10055542554309035,0.05594683352217619,43898,10858,46.78384799999185,52997
47,arch_128x64_act_relu_relu,128x64,"relu,relu",relu,"[128, 64]","[""relu"", ""relu""]",12931,80,80,0.05220048390357737,0.052098370095614535,0.05795708271922009,0.20530459252394548,0.9453858905875852,0.9697918585374838,0.16987973274853507,0.10429968054858026,0.0847362181740278,0.04554612220684058,43898,10858,55.60317680001026,52998
48,arch_128x64_act_relu_tanh,128x64,"relu,tanh","relu,tanh","[128, 64]","[""relu"", ""tanh""]",12931,80,80,0.05318371451485835,0.05281008663673195,0.05860801503339466,0.2078278043209068,0.9452016946030577,0.9696997605452201,0.16683456300042307,0.09845654805032868,0.08405287231962465,0.04695807734693386,43898,10858,64.71573689999059,52999
49,arch_128x64_act_tanh_tanh,128x64,"tanh,tanh","tanh,tanh","[128, 64]","[""tanh"", ""tanh""]",12931,80,80,0.06367623815097007,0.06356517170648857,0.06312279654901799,0.21864912166936246,0.9420703628660895,0.9637133910480752,0.17790697441726436,0.11787703762310911,0.09258803014356494,0.05478566609423208,43898,10858,52.58669779996853,53000
50,arch_128x64_act_relu_relu,128x64,"relu,relu","relu,relu","[128, 64]","[""relu"", ""relu""]",12931,80,77,0.052105217003687636,0.051298809634891855,0.05894799177258861,0.20633807545056065,0.9464910664947505,0.966936820777307,0.16842030222891533,0.10553589541733342,0.08444381379404874,0.04661045506593821,43898,10858,45.23386420001043,53001
51,arch_128x64_act_sigmoid_sigmoid,128x64,"sigmoid,sigmoid",sigmoid,"[128, 64]","[""sigmoid"", ""sigmoid""]",12931,80,80,0.08737041751892183,0.08722258246224955,0.08283952845929186,0.26600917634175264,0.9035734020998343,0.9386627371523301,0.24785719270929268,0.17904231095537995,0.165699937546049,0.1332394313056905,43898,10858,59.944302699994296,53002
