generation,finish_count,best_finish_time,mean_penalized_time,std_penalized_time,p10_penalized_time,p25_penalized_time,median_penalized_time,p75_penalized_time,p90_penalized_time,best_finish_time_so_far
263,17,18.710000000000125,27.00333333333354,4.264505800467457,20.566000000000418,22.180000000000668,30.0,30.0,30.0,18.710000000000125
264,14,18.710000000000125,27.664166666666855,3.92049307769071,20.30100000000037,26.010000000001266,30.0,30.0,30.0,18.710000000000125
265,19,18.710000000000125,26.678750000000225,4.2936205705866515,20.200000000000358,22.102500000000656,30.0,30.0,30.0,18.710000000000125
266,10,18.710000000000125,28.068125000000094,3.8905985273529073,19.963000000000324,30.0,30.0,30.0,30.0,18.710000000000125
267,16,18.710000000000125,27.2787500000002,4.1681623773751,19.750000000000288,23.845000000000926,30.0,30.0,30.0,18.710000000000125
268,15,18.710000000000125,27.513541666666868,4.001623363077677,20.324000000000375,25.755000000001225,30.0,30.0,30.0,18.710000000000125
269,19,18.710000000000125,27.503125000000356,3.7221841461307315,20.61500000000042,25.07250000000112,30.0,30.0,30.0,18.710000000000125
270,17,18.710000000000125,27.865625000000335,3.5533680655645195,22.393000000000704,26.320000000001315,30.0,30.0,30.0,18.710000000000125
271,17,18.710000000000125,27.743125000000315,3.675400293533623,21.458000000000556,25.33000000000116,30.0,30.0,30.0,18.710000000000125
272,16,18.710000000000125,27.338541666666885,4.0430856561866575,20.841000000000463,23.97250000000095,30.0,30.0,30.0,18.710000000000125
273,19,18.710000000000125,27.11791666666696,3.9575381438111927,20.681000000000434,23.79000000000092,30.0,30.0,30.0,18.710000000000125
274,15,18.710000000000125,27.59875000000022,3.8572775508336288,21.1050000000005,25.232500000001146,30.0,30.0,30.0,18.710000000000125
275,15,18.710000000000125,27.610625000000216,3.9492111059518793,20.228000000000364,25.297500000001154,30.0,30.0,30.0,18.710000000000125
276,19,17.97000000000001,26.72145833333357,4.325517305085668,19.69800000000028,22.88000000000078,30.0,30.0,30.0,17.97000000000001
277,20,17.97000000000001,26.68250000000027,4.229891399314914,19.296000000000216,23.0175000000008,30.0,30.0,30.0,17.97000000000001
278,11,17.97000000000001,27.887083333333436,4.00187870377415,20.813000000000457,30.0,30.0,30.0,30.0,17.97000000000001
279,14,17.97000000000001,27.514166666666828,4.0742912642021665,21.36200000000054,23.887500000000934,30.0,30.0,30.0,17.97000000000001
280,16,17.97000000000001,27.503541666666905,3.9964992439128424,20.40900000000039,26.172500000001293,30.0,30.0,30.0,17.97000000000001
281,15,17.97000000000001,27.987916666666944,3.667420732120582,22.096000000000654,27.592500000001515,30.0,30.0,30.0,17.97000000000001
282,12,17.97000000000001,28.168958333333517,3.640579875733559,21.918000000000628,29.632500000000416,30.0,30.0,30.0,17.97000000000001
283,16,17.97000000000001,27.559166666666915,3.9919277054518894,20.00700000000033,26.180000000001293,30.0,30.0,30.0,17.97000000000001
284,10,17.97000000000001,28.285000000000124,3.6726335918519135,21.36300000000054,30.0,30.0,30.0,30.0,17.97000000000001
285,15,17.97000000000001,27.26229166666683,4.25784924168636,19.95600000000032,22.860000000000774,30.0,30.0,30.0,17.97000000000001
286,11,17.97000000000001,27.984791666666784,3.8852144887075077,20.830000000000453,30.0,30.0,30.0,30.0,17.97000000000001
287,12,17.97000000000001,27.75166666666679,4.030304131065991,21.002000000000482,28.665000000000262,30.0,30.0,30.0,17.97000000000001
288,13,17.97000000000001,27.682708333333483,3.9769867883774914,21.535000000000565,25.122500000001132,30.0,30.0,30.0,17.97000000000001
289,15,17.97000000000001,27.360000000000174,4.112366005922271,20.75400000000045,23.6625000000009,30.0,30.0,30.0,17.97000000000001
290,11,17.97000000000001,28.102916666666804,3.7476614699108586,21.716000000000594,30.0,30.0,30.0,30.0,17.97000000000001
291,16,17.97000000000001,27.253541666666866,4.14490223526792,21.30400000000053,23.0275000000008,30.0,30.0,30.0,17.97000000000001
292,10,17.97000000000001,28.292291666666795,3.6894010577503904,21.833000000000617,30.0,30.0,30.0,30.0,17.97000000000001
293,12,17.97000000000001,27.816875000000127,3.9662173185173626,20.436000000000398,28.730000000000274,30.0,30.0,30.0,17.97000000000001
294,18,17.97000000000001,27.32687500000029,4.045374496595727,20.581000000000415,24.982500000001103,30.0,30.0,30.0,17.97000000000001
295,10,17.97000000000001,28.37750000000014,3.5331704954614134,22.81700000000077,30.0,30.0,30.0,30.0,17.97000000000001
296,10,17.97000000000001,28.080625000000094,3.863428640388473,21.386000000000543,30.0,30.0,30.0,30.0,17.97000000000001
297,10,17.97000000000001,28.374791666666805,3.5767350041524875,21.760000000000606,30.0,30.0,30.0,30.0,17.97000000000001
298,11,17.97000000000001,27.92875000000011,3.923934369672711,21.48500000000056,30.0,30.0,30.0,30.0,17.97000000000001
299,18,17.97000000000001,26.769791666666872,4.530314783757232,18.829000000000143,22.575000000000728,30.0,30.0,30.0,17.97000000000001
300,15,17.97000000000001,27.102500000000138,4.583525980799684,18.494000000000092,24.76500000000107,30.0,30.0,30.0,17.97000000000001
